prev_filename,new_filename,filename,page_height,page_width,page_height_scaled,page_width_scaled,AuthorID,Overlapped,category,id,x,y,width,height,x_scaled,y_scaled,w_scaled,h_scaled
0ce49-00000000000000.jpg,0ce49-00000000000000.jpg,0.jpg,600,843,640.0,455.51601423487546,NA,NA,DLSignature,,244,564,87,53,185,428,66,40
001_2.jpg,001_2.jpg,1.jpg,2419,2753,546.2753203803225,479.99999999999994,NA,NA,DLSignature,,1526,2378,268,263,302,471,53,52
01.jpg,01.jpg,2.jpg,500,456,437.76,480.0,NA,NA,DLSignature,,220,371,106,62,211,356,101,59
1.png,1.jpg,3.jpg,566,800,640.0,452.8,NA,NA,DLSignature,,296,575,97,68,236,460,77,54
1_001.jpg,1_001.jpg,4.jpg,1664,2352,640.0000000000001,452.78911564625855,NA,NA,DLSignature,,781,1744,399,254,212,474,108,69
02a15e1-1.jpg,02a15e1-1.jpg,5.jpg,690,913,635.1304347826086,480.0,NA,NA,DLSignature,,382,638,239,87,265,443,166,60
02a15e1-1.jpg,02a15e1-1.jpg,5.jpg,690,913,635.1304347826086,480.0,NA,NA,DLSignature,,486,854,85,57,338,594,59,39
3b63c5e-60e08fac-d20c-422d-83f5-11a9c84a5f5b-655x873.jpg,3b63c5e-60e08fac-d20c-422d-83f5-11a9c84a5f5b-655x873.jpg,6.jpg,655,873,639.7557251908397,480.0,NA,NA,DLSignature,,315,610,202,88,230,447,148,64
5a15e45895e0112dc5bb372d0e2ad364.jpg,5a15e45895e0112dc5bb372d0e2ad364.jpg,7.jpg,1000,849,407.52,480.0,NA,NA,DLSignature,,164,711,186,116,78,341,89,55
5be1ad8cda3192f8b7f8dd5d84a231fe.jpeg,5be1ad8cda3192f8b7f8dd5d84a231fe.jpg,8.jpg,582,800,640.0,465.6,NA,NA,DLSignature,,285,264,116,47,228,211,92,37
5be1ad8cda3192f8b7f8dd5d84a231fe.jpeg,5be1ad8cda3192f8b7f8dd5d84a231fe.jpg,8.jpg,582,800,640.0,465.6,NA,NA,DLSignature,,278,321,147,75,222,256,117,60
5be1ad8cda3192f8b7f8dd5d84a231fe.jpeg,5be1ad8cda3192f8b7f8dd5d84a231fe.jpg,8.jpg,582,800,640.0,465.6,NA,NA,DLSignature,,310,312,45,34,248,249,36,27
5be1ad8cda3192f8b7f8dd5d84a231fe.jpeg,5be1ad8cda3192f8b7f8dd5d84a231fe.jpg,8.jpg,582,800,640.0,465.6,NA,NA,DLSignature,,319,288,94,43,255,230,75,34
5ec6416f10e93-9b475763-3c0c-4cff-894a-d8d8e0d19345.jpg,5ec6416f10e93-9b475763-3c0c-4cff-894a-d8d8e0d19345.jpg,9.jpg,623,882,640.0,452.06349206349205,NA,NA,DLSignature,,338,675,109,108,245,489,79,78
5eefa1fc664b7.jpeg,5eefa1fc664b7.jpg,10.jpg,866,450,249.42263279445726,479.99999999999994,NA,NA,DLSignature,,487,258,167,131,269,143,92,72
21eb11c7202b6b4b0aa0270504f7cedd.jpg,21eb11c7202b6b4b0aa0270504f7cedd.jpg,11.jpg,640,877,640.0,467.0467502850627,NA,NA,DLSignature,,108,596,91,42,78,434,66,30
