prev_filename,new_filename,filename,page_height,page_width,page_height_scaled,page_width_scaled,AuthorID,Overlapped,category,id,x,y,width,height,x_scaled,y_scaled,w_scaled,h_scaled
0b1bb3e46f54f87b21c115de6f2508a9.jpg,0b1bb3e46f54f87b21c115de6f2508a9.jpg,0.jpg,500,261,250.56,480.0,NA,NA,DLSignature,,268,161,57,34,257,154,54,32
000001 (2).jpg,000001 (2).jpg,1.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1349,2058,257,130,224,343,42,21
000001 (3).jpg,000001 (3).jpg,2.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,198,909,332,90,66,303,110,30
000001 (4).jpg,000001 (4).jpg,3.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1288,1956,228,102,214,326,38,17
000001.jpg,000001.jpg,4.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1235,1891,257,130,205,315,42,21
1-25.jpg,1-25.jpg,5.jpg,800,618,370.8,480.0,NA,NA,DLSignature,,494,460,71,51,296,276,42,30
1f1b90.jpg,1f1b90.jpg,6.jpg,570,428,360.4210526315789,480.0,NA,NA,DLSignature,,193,235,151,128,162,197,127,107
3_17867c241cc7fe0d8887c85734095efc.jpg,3_17867c241cc7fe0d8887c85734095efc.jpg,7.jpg,281,500,421.05263157894734,236.6315789473684,NA,NA,DLSignature,,6,277,149,40,5,233,125,33
3_d53ba377f97a8052204fff89ed5ced87.jpg,3_d53ba377f97a8052204fff89ed5ced87.jpg,8.jpg,667,500,359.8200899550225,480.00000000000006,NA,NA,DLSignature,,31,375,314,62,22,269,225,44
3ee7fdb9f7e034bc3247de4db6718106.jpg,3ee7fdb9f7e034bc3247de4db6718106.jpg,10.jpg,736,981,639.7826086956521,480.0,NA,NA,DLSignature,,485,729,82,45,316,475,53,29
000005 (3).jpg,000005 (3).jpg,12.jpg,2160,3840,640.0,360.0,NA,NA,DLSignature,,1312,2103,269,143,218,350,44,23
000005.jpg,000005.jpg,13.jpg,1080,1920,640.0,360.0,NA,NA,DLSignature,,687,754,116,53,229,251,38,17
06b9246bd9a94bf5ee2f24a611755752.jpg,06b9246bd9a94bf5ee2f24a611755752.jpg,14.jpg,564,903,640.0,399.734219269103,NA,NA,DLSignature,,188,416,38,36,133,294,26,25
